systemThrouput,
4.86040956,5.013202366
4.857081897,5.018731044
4.859283833,5.013355849
4.876556529,5.007039753
4.870887148,5.035338988
4.8748502,4.995303393
4.858265201,5.000373511
4.864198736,5.014848615
4.872829945,5.018872863
4.86146622,5.003985242
4.868194289,5.024412042
4.858605027,4.993373536
4.868768888,5.000012752
4.85649266,5.01377036
4.871080393,5.0037164
4.866649194,5.015822182
4.87661421,5.016681766
4.85955714,5.028615932
4.870795828,5.024237536
4.876736002,5.02270118
4.867569214,5.036325472
4.867984851,5.007666461
4.861370481,4.996966448
4.866336101,5.021911584
4.858098441,5.016444162
4.871600315,5.025416755
4.880189955,5.015587669
4.875046949,5.026116296
4.867193457,4.99535764
4.868199453,4.990555887
4.865346723,5.021434738
4.870497421,5.013841696
4.864808992,5.006081467
4.878275273,5.022147548
4.873355589,5.030488185
4.869244223,5.018945479
4.870718858,5.044033221
4.866782696,5.021543036
4.872462509,5.025732068
4.870060224,5.01537614
4.878685467,5.00056332
4.874027791,5.010078617
4.862047557,4.996289893
4.874529394,5.002311317
4.868180124,5.031503296
4.881012898,4.99042862
4.879925845,5.019617813
4.867505422,5.025706365
4.874083536,5.03689168
4.88104018,5.012281701
4.876575627,5.020491809
4.870546127,5.013791389
4.868601299,4.994827594
4.866268296,5.00830393
4.876111218,5.019711004
4.871432591,5.035851476
4.874772895,5.003214497
4.865551103,5.005534742
4.873894718,5.029158502
4.885253095,5.02208591
4.878521082,5.029696812
4.877252834,5.029346281
4.880938026,4.986762761
4.876880397,5.027524499
4.885428408,5.02190965
4.879355629,5.030354639
4.884648902,5.016367138
4.877349364,5.036822405
4.869449267,5.033898905
4.889144336,5.012474493
4.874371015,5.000610768
4.879860438,5.031095134
4.879960864,5.016407198
4.890715786,5.028301247
4.8856873,4.996168224
4.877594442,4.982909637
4.880813058,5.006489431
4.882303007,5.00846115
4.88361996,5.015291112
4.888926394,5.014050377
4.87104486,5.026603152
4.885805372,5.032826354
4.880870106,5.017947275
4.884439662,5.024242001
4.880139229,5.019758099
4.873380108,5.009599529
4.875888834,5.027312972
4.883322148,5.018513249
4.88327412,5.009575246
4.887346167,5.0096615
4.896542866,5.041870704
4.88538328,5.007703262
4.878969764,5.005783936
4.888314716,5.008798707
4.880301587,5.025813174
4.886297238,5.024350924
4.884927391,5.009330945
4.882132451,5.027924121
4.884890088,5.023339114
4.894339252,5.017260422
4.885282805,5.005706876
4.891730198,4.997340885
4.891003682,5.01353167
4.888990909,5.020259054
4.88340425,5.030850373
4.891172038,5.015853441
4.889809155,5.008966279
4.887286218,5.007196602
4.87993516,5.017191144
4.889743893,5.004412657
4.88473118,5.001340224
4.879129386,5.026341903
4.895595649,5.02137508
4.888237659,5.000832044
4.883068926,4.986087746
4.892765665,5.053526404
4.89027968,5.035635767
4.88735649,5.039995453
4.889032307,4.996847451
4.884838137,5.024023317
4.887882291,5.009561291
4.881903165,5.034864253
4.892063605,5.006673996
4.88678838,5.03270378
4.889001352,5.019264327
4.892332225,5.027019924
4.890768693,5.015149193
4.885638512,5.018812226
4.895193463,5.012352161
4.897832187,5.018691771
4.887353523,5.030274589
4.899344095,5.032608312
4.893190488,5.020465746
4.883526409,5.014552592
4.898390896,5.012300503
4.891262392,5.027983352
4.895740372,5.018642867
4.885001477,5.016542997
4.896674226,5.042036406
4.888379534,5.018483374
4.88432294,5.036556885
4.898181818,4.978527286
4.894254927,5.011267958
4.891506978,5.016937637
4.89127715,4.983980359
4.891957767,4.997781502
4.896924401,5.025403854
4.905524082,5.005980564
4.899479663,5.005010508
4.903806126,5.01909784
4.887559592,5.003801481
4.90020698,5.037786235
4.894063969,5.003484794
4.889199537,4.998223097
4.893884216,5.008556647
