0,1,2,,,,AVG,STD
85.75547589,123.1477282,122.9912074,,110.6314705,,,
83.78366471,123.3589624,125.7427651,,110.9617974,,,
87.31895245,115.4284322,131.2167869,,111.3213905,,,
85.91803684,119.9704746,130.213696,,112.0340691,,,
90.43626405,117.6659576,139.9132676,,116.0051631,,,
93.29002792,125.285214,129.2979695,,115.9577372,,,
88.73718856,118.2522551,140.4375988,,115.8090141,,,
87.54316664,129.6654602,119.9126107,,112.3737459,,,
85.34938346,128.6071124,135.3996453,,116.4520471,,,
110.2471194,124.4753062,134.1076943,,122.9433733,,,
85.4781287,121.3078705,130.6016463,,112.4625485,,,
93.97333911,122.9411573,127.8665301,,114.9270088,,,
94.08213868,116.0374052,132.8402398,,114.3199279,,,
94.09212042,122.8146786,130.9683865,,115.9583952,,,
91.36057171,119.8796048,119.7690366,,110.3364044,,,
82.77480697,117.0864376,125.1725969,,108.3446138,,,
89.98622567,121.1454676,128.951143,,113.3609454,,,
84.93605873,117.0505321,130.50534,,110.8306436,,,
97.79448682,118.8349718,125.4878586,,114.0391057,,,
91.3617562,116.0557582,130.5108648,,112.6427931,,,
93.19549347,120.7830542,129.2005083,,114.3930186,,,
92.12540211,116.5551462,125.4934717,,111.39134,,,
85.53080366,118.3370195,123.5762888,,109.1480373,,,
89.69356273,122.4855617,123.2964766,,111.8252003,,,
90.9257428,130.3889923,136.3797621,,119.2314991,,,
97.7675949,123.5819589,126.0200603,,115.7898714,,,
89.36966237,117.478388,132.4053573,,113.0844692,,,
94.65280994,125.3650264,132.818241,,117.6120258,,,
108.7605325,132.0482156,130.9285252,,123.9124244,,,
98.20977934,124.9061225,133.1734526,,118.7631181,,,
88.75554704,131.6744974,129.0504021,,116.4934822,,,
88.03750826,136.6245228,122.7983722,,115.8201344,,,
86.32992115,122.8509139,122.9244809,,110.701772,,,
95.16232085,125.5872528,125.8192093,,115.5229276,,,
91.47551266,121.0313715,131.1116866,,114.5395236,,,
91.72339135,123.0731732,124.8136549,,113.2034065,,,
93.41883171,123.1546082,139.6453814,,118.7396071,,,
94.21271499,115.1939834,131.0163683,,113.4743556,,,
114.8653602,137.1960753,128.7588592,,126.9400983,,,
94.51548017,128.0762786,122.114909,,114.9022226,,,
91.38026131,122.1439842,140.0073302,,117.8438586,,,
95.90143531,117.8919658,133.0449748,,115.612792,,,
98.76823765,119.4473346,133.7467098,,117.3207607,,,
90.82309746,117.3122326,132.0023004,,113.3792101,,,
91.28104404,120.826188,124.6282967,,112.2451762,,,
88.92428489,113.766508,136.2852941,,112.992029,,,
93.79543552,117.7313184,124.4685127,,111.9984222,,,
89.22529541,113.7404498,136.0984264,,113.0213905,,,
96.47756987,116.3483087,129.4202134,,114.0820307,,,
98.30894402,122.005356,129.7048792,,116.6730598,,,
89.4245825,123.7699881,126.0039245,,113.0661651,,,
85.55821069,115.6135932,126.17832,,109.116708,,,
95.68423055,112.620678,138.3153272,,115.5400786,,,
99.66567238,125.1843406,127.1242927,,117.3247685,,,
102.8808046,124.817359,141.0352637,,122.9111424,,,
83.90335883,122.1993501,125.5431551,,110.5486214,,,
89.68892749,120.3460411,127.1767345,,112.403901,,,
89.43605727,137.2861974,127.041595,,117.9212832,,,
102.0997832,124.0566748,128.2875151,,118.147991,,,
91.63993988,114.8535102,128.4207479,,111.638066,,,
95.81148382,117.97861,124.7462336,,112.8454425,,,
100.7945304,113.1830868,131.3903652,,115.1226608,,,
103.068607,129.0958351,124.2252678,,118.79657,,,
95.51544869,122.2763517,125.3034349,,114.3650784,,,
93.28649504,119.1455799,127.445046,,113.2923737,,,
92.92237525,111.0094674,137.5170492,,113.8162973,,,
99.24770221,121.7885689,129.431527,,116.8225994,,,
