0,1,2,,,,,
103.2610108,135.1956068,140.8260741,,126.4275639,,,
109.4509976,105.4147728,144.7218669,,119.8625458,,,
101.5191219,101.6515414,148.0168769,,117.0625134,,,
107.0276177,106.6874072,151.4732022,,121.729409,,,
108.3500201,113.961225,133.5101927,,118.6071459,,,
107.6724333,111.9247465,155.4610596,,125.0194131,,,
113.5016716,123.419067,145.5667211,,127.4958199,,,
104.3952928,104.945132,135.9654848,,115.1019699,,,
117.1483092,102.8962451,140.1049928,,120.049849,,,
103.2937334,124.0406974,134.1887299,,120.5077202,,,
101.7597255,109.8338472,143.8345292,,118.476034,,,
114.2098498,117.4303398,144.0709018,,125.2370304,,,
108.6067633,107.2797504,136.078087,,117.3215336,,,
105.3171332,108.9619782,137.0396107,,117.1062407,,,
106.4873088,107.5137861,128.9244746,,114.3085232,,,
109.7266338,109.7509997,143.5749338,,121.0175224,,,
113.7553869,117.4820395,140.0879129,,123.7751131,,,
111.054903,105.1159905,142.3644822,,119.5117919,,,
108.9526454,107.4227292,140.8570769,,119.0774838,,,
115.0427546,113.6688392,135.0934472,,121.268347,,,
106.7946719,113.4155472,135.9142911,,118.7081701,,,
109.4044191,108.4775001,134.4349774,,117.4389655,,,
103.7850564,109.4410616,144.2095215,,119.1452132,,,
113.0684638,119.6940305,142.7775242,,125.1800062,,,
108.1271689,111.8742831,141.1581394,,120.3865305,,,
108.1343128,108.9415931,145.7694,,120.9484353,,,
105.8401171,110.1178472,140.2759188,,118.7446277,,,
104.0765232,107.5452727,140.7785003,,117.4667654,,,
103.2551421,105.9496415,144.0493987,,117.7513941,,,
109.1787234,106.4362766,142.4165465,,119.3438488,,,
108.7147824,120.3155783,141.7334911,,123.5879506,,,
107.722549,121.4683378,136.5489494,,121.9132787,,,
111.7565055,119.0105028,135.0893096,,121.952106,,,
101.8944195,101.7961997,139.1793067,,114.2899753,,,
105.6040628,108.2651915,141.2613462,,118.3768668,,,
105.4155719,113.7794798,129.2249334,,116.139995,,,
106.521805,114.0437438,147.4301568,,122.6652352,,,
107.9856491,110.7964232,136.8195986,,118.5338903,,,
105.0137661,104.2998378,135.318073,,114.8772256,,,
105.2919353,111.6128714,140.1907347,,119.0318471,,,
121.469496,114.4978981,137.3958896,,124.4544279,,,
110.5751115,116.5637062,138.7122431,,121.9503536,,,
109.4960658,132.714328,147.2164211,,129.8089383,,,
117.324853,112.3412112,138.852868,,122.8396441,,,
120.6810075,113.4344051,131.6751696,,121.9301941,,,
108.3077115,114.2610496,145.8454739,,122.804745,,,
110.333817,108.7204425,138.3650378,,119.1397658,,,
109.5613975,118.2901798,138.3621244,,122.0712339,,,
103.0360228,122.0345089,142.7048892,,122.591807,,,
106.0274909,113.1130313,142.9186075,,120.6863766,,,
114.493686,107.8395509,141.9852413,,121.4394927,,,
102.8590788,110.6706522,135.8118324,,116.4471878,,,
107.9619939,111.2660478,139.8557332,,119.6945916,,,
128.4311549,110.5168743,133.9879086,,124.3119793,,,
111.4997696,115.8321594,138.0165708,,121.7828333,,,
115.5332148,117.7796042,138.3413732,,123.8847307,,,
106.983486,107.6107088,141.5870255,,118.7270735,,,
109.9763557,119.0094428,144.1151004,,124.3669663,,,
112.0377446,114.4110332,144.7544359,,123.7344046,,,
126.8364936,121.6924048,136.7697091,,128.4328692,,,
104.1123936,113.2454094,136.344498,,117.900767,,,
106.6449133,109.9380575,143.8609783,,120.147983,,,
114.476143,123.5660614,136.0133917,,124.6851987,,,
114.0617753,107.0250312,137.6413555,,119.576054,,,
115.4659102,116.4020269,137.0640496,,122.9773289,,,
112.9254254,114.1142634,154.1442781,,127.0613223,,,
107.7722128,114.4650364,135.2117578,,119.149669,,,
104.3345402,116.7895675,145.5079669,,122.2106915,,,
113.2208226,115.1351494,134.6096655,,120.9885458,,,
117.8242079,113.7364738,140.5522739,,124.0376519,,,
112.4213666,112.6080547,148.6105261,,124.5466491,,,
110.7726728,113.9076985,142.1003161,,122.2602291,,,
108.0353979,116.0753619,143.9101375,,122.6736324,,,
105.2089739,114.2649823,138.1621248,,119.212027,,,
109.6344643,112.3531923,142.685608,,121.5577549,,,
115.8028119,122.6467159,144.2899497,,127.5798259,,,
108.6655494,114.1036814,139.6120031,,120.7937446,,,
107.0083807,111.7289774,146.8530958,,121.8634846,,,
109.1643013,120.274683,142.2029943,,123.8806595,,,
119.7378969,114.3055969,139.9442777,,124.6625905,,,
103.3225379,109.386252,141.4276446,,118.0454782,,,
121.323921,115.2408321,143.710184,,126.7583123,,,
110.9271688,112.0212222,144.8213438,,122.5899116,,,
109.223301,115.5956055,134.2739694,,119.6976253,,,
119.4461014,112.6222557,144.4930456,,125.5204675,,,
